customer_id,transaction_amount,transaction_date
57,134.91,2023-05-19
444,120.13,2023-09-21
142,92.21,2023-01-21
198,484.4,2023-02-05
173,37.46,2023-11-09
109,132.76,2023-03-26
246,425.21,2023-09-22
85,121.38,2023-04-11
303,187.54,2023-06-07
66,68.34,2023-05-28
126,479.72,2023-05-03
182,109.13,2023-09-06
41,99.95,2023-04-27
250,389.7,2023-04-08
480,436.5,2023-12-29
20,295.2,2023-09-24
118,31.4,2023-06-16
438,67.62,2023-02-19
270,438.29,2023-07-24
137,266.04,2023-11-13
186,28.28,2023-10-06
152,221.91,2023-12-20
273,388.18,2023-07-06
297,215.58,2023-07-06
421,435.42,2023-02-23
123,18.53,2023-12-24
81,78.19,2023-06-30
466,172.18,2023-05-19
2,163.58,2023-12-25
127,396.75,2023-05-01
217,91.13,2023-01-25
74,168.35,2023-05-03
43,140.55,2023-08-04
220,138.13,2023-08-05
484,408.13,2023-06-24
368,32.7,2023-06-17
246,297.95,2023-08-19
409,143.9,2023-03-06
47,400.98,2023-04-18
399,494.48,2023-04-15
110,217.59,2023-10-07
195,451.19,2023-06-05
164,123.79,2023-10-03
142,373.32,2023-06-09
374,160.43,2023-05-07
273,351.9,2023-10-04
317,75.84,2023-12-05
236,111.48,2023-07-12
208,76.02,2023-04-18
360,139.42,2023-08-10
111,305.95,2023-01-08
312,138.59,2023-12-10
24,253.81,2023-10-14
48,293.79,2023-09-05
362,109.37,2023-10-21
349,309.21,2023-05-27
131,270.13,2023-02-17
127,268.81,2023-02-16
316,71.77,2023-05-31
203,159.61,2023-06-15
431,239.1,2023-10-18
216,181.2,2023-01-09
291,110.52,2023-05-01
155,401.81,2023-07-29
243,38.1,2023-10-22
175,323.5,2023-01-30
280,287.44,2023-12-05
131,319.77,2023-02-16
131,496.64,2023-12-28
226,49.7,2023-10-22
252,150.74,2023-02-12
110,184.14,2023-02-24
313,49.06,2023-04-29
56,125.81,2023-06-13
135,231.29,2023-06-07
500,304.94,2023-09-28
442,462.34,2023-12-30
45,294.11,2023-03-27
427,482.09,2023-04-12
466,305.53,2023-06-27
30,13.18,2023-04-07
38,162.75,2023-12-31
309,457.56,2023-08-19
114,182.47,2023-12-28
90,359.86,2023-09-18
234,398.27,2023-12-26
118,46.26,2023-10-31
117,99.81,2023-11-30
420,73.86,2023-03-16
41,70.84,2023-05-03
139,57.06,2023-07-27
290,244.19,2023-09-24
6,46.79,2023-11-30
36,137.24,2023-11-01
373,278.94,2023-12-03
340,95.99,2023-01-28
390,284.42,2023-08-04
21,231.37,2023-01-01
404,354.67,2023-05-23
65,140.26,2023-08-06
29,238.61,2023-02-24
348,125.71,2023-01-01
361,48.94,2023-05-08
327,423.45,2023-04-06
137,259.68,2023-07-21
142,133.31,2023-03-15
81,414.33,2023-11-25
238,229.64,2023-10-03
107,221.99,2023-10-27
62,245.39,2023-01-23
70,395.95,2023-04-06
46,436.57,2023-08-31
434,133.31,2023-05-30
472,40.79,2023-08-13
175,369.48,2023-07-31
102,419.99,2023-06-07
388,330.1,2023-12-02
417,411.86,2023-11-11
275,149.83,2023-12-31
154,125.48,2023-04-01
226,350.35,2023-06-24
107,316.37,2023-03-13
119,147.75,2023-07-27
206,99.83,2023-02-21
133,498.28,2023-10-27
152,424.46,2023-11-25
97,135.4,2023-08-07
402,28.96,2023-06-15
77,166.13,2023-11-25
412,122.82,2023-05-10
477,426.08,2023-01-11
181,395.39,2023-06-15
18,264.07,2023-01-08
358,307.26,2023-09-05
271,496.43,2023-10-18
242,279.4,2023-06-10
464,139.29,2023-09-19
491,464.62,2023-04-23
97,123.23,2023-09-06
445,156.48,2023-06-22
247,327.65,2023-03-11
108,114.97,2023-01-18
410,480.7,2023-01-08
294,134.86,2023-08-07
120,74.12,2023-09-09
197,285.47,2023-12-20
420,377.39,2023-02-06
141,179.13,2023-10-13
292,316.8,2023-03-21
281,214.91,2023-03-26
282,176.91,2023-01-18
316,430.72,2023-07-28
7,247.64,2023-02-11
296,364.06,2023-02-09
375,46.69,2023-05-17
345,101.02,2023-05-26
72,384.81,2023-04-27
263,183.57,2023-08-15
37,206.87,2023-07-06
98,479.45,2023-12-08
143,114.97,2023-05-17
144,445.48,2023-10-25
454,160.3,2023-05-29
469,265.84,2023-11-27
139,300.95,2023-03-10
457,193.67,2023-05-10
260,259.3,2023-09-19
226,15.62,2023-04-13
34,190.06,2023-08-12
215,389.77,2023-01-22
233,327.24,2023-03-14
131,474.23,2023-01-26
311,394.34,2023-03-18
27,71.59,2023-10-02
186,376.62,2023-11-02
316,437.0,2023-12-28
409,410.3,2023-04-28
50,180.22,2023-11-25
262,311.89,2023-12-29
451,277.31,2023-08-09
61,29.01,2023-09-20
165,359.03,2023-08-01
137,107.07,2023-06-10
273,221.3,2023-06-21
233,326.45,2023-10-08
79,253.25,2023-08-19
292,31.06,2023-10-16
20,176.64,2023-07-27
400,341.54,2023-10-18
232,224.71,2023-03-04
26,156.41,2023-03-04
14,92.26,2023-04-11
459,203.12,2023-12-06
204,191.26,2023-12-06
483,259.26,2023-04-03
300,467.85,2023-06-12
96,420.82,2023-01-23
23,412.08,2023-06-21
400,240.61,2023-01-02
36,336.21,2023-09-29
446,193.63,2023-06-09
83,189.46,2023-03-08
77,93.4,2023-01-02
46,140.37,2023-07-04
485,375.74,2023-09-18
287,279.4,2023-05-03
13,280.07,2023-10-14
334,144.3,2023-11-20
160,240.72,2023-08-01
118,434.92,2023-05-02
285,343.53,2023-10-05
466,275.87,2023-07-07
8,173.88,2023-09-23
408,371.14,2023-01-23
262,317.8,2023-11-13
164,224.16,2023-09-30
389,315.37,2023-12-25
342,120.34,2023-08-17
364,442.45,2023-01-05
203,475.69,2023-07-25
200,59.79,2023-04-12
68,358.98,2023-10-16
214,426.99,2023-02-09
485,319.55,2023-11-15
10,106.51,2023-04-22
167,59.47,2023-05-01
486,322.34,2023-10-10
105,187.71,2023-10-20
287,458.34,2023-06-20
181,470.89,2023-04-19
463,217.45,2023-01-05
449,276.47,2023-11-03
483,474.18,2023-04-28
401,312.91,2023-12-25
252,397.51,2023-12-09
208,119.1,2023-09-03
391,188.24,2023-09-30
439,20.46,2023-07-02
310,441.78,2023-05-02
276,164.5,2023-04-14
100,357.28,2023-10-20
171,27.92,2023-09-26
93,411.13,2023-07-31
346,447.45,2023-04-10
401,424.51,2023-10-18
484,422.46,2023-10-10
119,86.34,2023-02-25
263,374.53,2023-06-02
310,272.67,2023-11-25
6,362.67,2023-10-29
440,168.63,2023-02-01
347,261.53,2023-06-19
73,27.51,2023-03-15
7,69.0,2023-10-03
70,144.96,2023-10-29
51,297.55,2023-08-03
447,488.67,2023-07-06
325,477.67,2023-01-19
285,195.13,2023-06-17
133,171.7,2023-07-14
243,208.76,2023-01-01
471,101.6,2023-09-01
389,36.27,2023-09-24
49,166.86,2023-06-24
159,287.58,2023-09-03
105,476.76,2023-07-10
37,185.46,2023-01-20
125,299.81,2023-08-25
456,94.86,2023-08-29
321,199.42,2023-10-13
268,57.26,2023-09-04
451,350.09,2023-05-07
426,150.55,2023-05-27
136,248.87,2023-12-18
68,258.99,2023-06-15
227,235.05,2023-07-19
48,411.22,2023-06-21
156,286.07,2023-01-15
184,115.9,2023-09-21
264,322.78,2023-11-01
478,463.73,2023-01-22
231,394.2,2023-06-20
185,73.51,2023-01-03
20,45.51,2023-02-06
226,378.67,2023-05-04
283,424.98,2023-05-04
78,34.62,2023-07-06
304,222.52,2023-05-02
45,214.65,2023-04-14
221,95.2,2023-09-26
387,185.98,2023-07-06
88,213.49,2023-05-19
170,364.1,2023-05-08
341,376.6,2023-02-28
327,463.92,2023-08-10
216,412.72,2023-12-23
455,371.74,2023-10-23
307,212.61,2023-03-06
247,136.43,2023-06-25
15,62.44,2023-01-02
43,209.68,2023-08-15
258,37.31,2023-12-11
466,486.68,2023-04-12
123,81.99,2023-03-10
104,281.16,2023-07-08
325,333.7,2023-12-21
178,62.36,2023-07-30
476,499.93,2023-09-19
291,53.83,2023-01-07
478,407.01,2023-01-14
265,133.01,2023-11-12
444,32.31,2023-08-14
261,141.71,2023-06-14
9,273.05,2023-03-14
130,476.98,2023-12-31
36,153.72,2023-11-01
164,401.65,2023-03-13
312,464.21,2023-05-24
468,354.04,2023-07-07
396,422.44,2023-04-02
450,172.19,2023-03-12
241,208.17,2023-05-04
80,50.42,2023-11-22
320,405.12,2023-10-26
407,48.84,2023-02-26
186,448.32,2023-03-13
220,319.25,2023-01-12
413,126.8,2023-08-05
389,322.64,2023-06-18
430,99.1,2023-02-02
326,464.78,2023-08-20
264,124.58,2023-03-05
350,454.0,2023-09-20
408,203.81,2023-05-26
336,255.05,2023-04-16
320,481.76,2023-04-23
466,332.12,2023-02-26
40,285.46,2023-02-07
491,190.81,2023-10-20
160,497.88,2023-02-17
385,490.77,2023-02-03
199,362.32,2023-04-10
421,483.5,2023-05-23
108,109.42,2023-04-05
421,311.89,2023-08-30
434,356.31,2023-11-17
307,223.67,2023-01-08
195,270.84,2023-11-08
286,77.66,2023-02-14
141,97.92,2023-07-28
256,319.02,2023-02-13
345,391.53,2023-09-16
453,154.28,2023-09-27
242,237.61,2023-11-27
327,102.1,2023-08-16
344,456.42,2023-09-27
422,194.52,2023-09-11
111,34.13,2023-06-25
251,263.87,2023-09-06
15,169.39,2023-05-19
226,127.85,2023-09-25
80,153.94,2023-05-12
143,421.9,2023-06-06
56,291.71,2023-06-09
499,294.14,2023-08-19
7,328.68,2023-02-14
108,154.63,2023-09-21
151,433.51,2023-11-18
242,88.61,2023-10-06
248,85.74,2023-02-19
191,402.05,2023-02-20
144,473.67,2023-06-22
150,238.74,2023-04-20
372,88.39,2023-05-31
18,136.53,2023-05-27
416,100.11,2023-02-16
111,369.22,2023-08-09
256,407.62,2023-04-21
55,349.66,2023-08-19
320,349.78,2023-07-19
439,281.42,2023-12-16
35,434.84,2023-07-30
227,494.23,2023-03-20
458,103.76,2023-10-03
208,308.11,2023-11-04
206,155.53,2023-04-07
187,206.43,2023-07-13
373,142.17,2023-05-10
61,411.08,2023-07-17
434,171.46,2023-06-25
37,24.15,2023-05-04
32,95.41,2023-11-13
422,282.18,2023-06-04
340,203.28,2023-05-05
309,265.91,2023-09-21
495,483.7,2023-03-15
294,402.44,2023-03-20
407,97.05,2023-08-02
37,185.26,2023-04-11
135,211.64,2023-10-06
57,274.47,2023-07-25
136,303.38,2023-04-05
304,301.94,2023-09-22
12,60.32,2023-12-16
265,62.43,2023-04-15
127,339.28,2023-09-15
479,256.47,2023-04-05
307,368.2,2023-02-17
208,23.81,2023-03-12
173,498.95,2023-04-26
79,163.98,2023-02-11
302,225.46,2023-03-24
80,14.5,2023-09-27
180,339.04,2023-09-13
8,360.41,2023-01-09
429,481.2,2023-03-31
237,322.59,2023-03-08
266,464.88,2023-10-17
331,110.87,2023-02-16
370,66.84,2023-03-19
457,164.91,2023-04-03
308,168.27,2023-09-22
187,415.68,2023-04-22
22,311.63,2023-08-11
360,353.3,2023-02-11
213,69.63,2023-09-23
448,324.02,2023-05-19
96,213.57,2023-04-07
327,167.01,2023-06-15
420,348.0,2023-07-15
282,266.43,2023-06-18
387,423.41,2023-01-13
253,81.13,2023-03-15
262,479.29,2023-09-13
220,284.38,2023-05-27
16,317.01,2023-05-16
473,312.23,2023-02-10
303,385.6,2023-09-11
136,146.23,2023-09-29
89,127.01,2023-04-05
499,84.61,2023-10-22
490,165.89,2023-12-01
287,329.2,2023-09-16
240,418.44,2023-02-03
455,492.5,2023-03-15
199,392.55,2023-03-22
123,476.92,2023-12-05
417,122.2,2023-08-31
442,313.53,2023-12-11
167,422.14,2023-06-27
385,338.74,2023-10-18
398,23.03,2023-03-03
497,11.38,2023-02-03
339,360.59,2023-11-23
437,106.52,2023-09-16
194,422.8,2023-11-27
203,297.71,2023-09-19
246,132.59,2023-07-11
116,373.0,2023-04-29
53,328.37,2023-04-06
360,24.21,2023-08-12
125,31.04,2023-06-24
59,402.16,2023-07-31
61,294.37,2023-06-24
18,105.92,2023-09-08
315,426.63,2023-11-01
455,379.92,2023-05-14
106,266.22,2023-11-24
437,204.57,2023-06-17
68,113.52,2023-11-01
228,34.0,2023-07-13
167,185.82,2023-09-09
269,372.75,2023-10-17
274,464.66,2023-09-16
22,83.56,2023-08-16
375,83.47,2023-03-09
357,30.15,2023-01-02
459,458.11,2023-03-17
302,344.03,2023-12-30
328,37.17,2023-01-14
153,172.92,2023-01-29
257,421.09,2023-01-30
208,288.17,2023-07-13
462,188.13,2023-09-07
269,283.66,2023-10-20
56,153.08,2023-04-23
474,481.08,2023-05-01
492,315.11,2023-07-27
27,463.9,2023-12-26
102,42.53,2023-10-18
129,153.4,2023-10-05
37,346.64,2023-02-22
250,293.02,2023-01-22
148,297.18,2023-08-10
444,292.82,2023-09-22
403,456.48,2023-08-06
210,67.38,2023-04-28
52,114.8,2023-06-10
499,285.56,2023-04-27
245,282.6,2023-02-15
1,495.83,2023-07-08
469,93.89,2023-03-08
70,197.35,2023-12-08
69,155.82,2023-11-25
109,63.19,2023-02-23
341,182.8,2023-01-17
296,318.42,2023-05-27
172,257.37,2023-08-18
7,138.62,2023-07-13
9,102.0,2023-02-27
166,374.89,2023-05-30
114,495.82,2023-05-18
197,105.59,2023-05-22
467,128.4,2023-01-21
284,75.03,2023-11-10
111,449.01,2023-12-24
116,298.84,2023-07-04
362,332.58,2023-11-02
313,286.2,2023-08-22
185,380.12,2023-06-17
47,488.78,2023-12-27
468,294.33,2023-05-24
141,28.96,2023-10-06
61,98.03,2023-04-17
451,418.91,2023-06-27
191,364.48,2023-01-23
283,281.18,2023-08-26
24,94.3,2023-08-02
176,130.54,2023-04-20
248,28.62,2023-11-16
189,205.03,2023-10-18
493,320.71,2023-11-01
447,88.43,2023-10-27
466,276.89,2023-06-20
205,106.45,2023-07-10
279,115.85,2023-02-28
219,339.53,2023-04-14
221,362.58,2023-07-22
489,244.68,2023-07-08
398,118.1,2023-11-08
416,275.63,2023-10-13
203,422.47,2023-01-16
318,197.09,2023-03-08
148,333.06,2023-05-05
423,109.2,2023-03-12
282,259.44,2023-04-20
415,186.22,2023-11-06
345,405.93,2023-07-24
281,29.47,2023-09-30
173,197.64,2023-11-07
4,323.18,2023-06-14
459,55.13,2023-10-13
164,141.28,2023-09-09
222,151.26,2023-07-01
447,455.99,2023-08-31
2,249.97,2023-06-08
382,339.26,2023-08-28
23,42.26,2023-10-24
340,154.61,2023-03-07
93,282.92,2023-08-02
186,304.94,2023-05-26
164,266.37,2023-05-25
293,108.82,2023-10-25
121,446.03,2023-11-30
348,98.88,2023-08-07
118,468.28,2023-03-20
29,30.79,2023-10-19
317,346.44,2023-06-24
493,176.93,2023-05-08
40,446.23,2023-11-20
182,40.47,2023-01-14
452,335.69,2023-03-30
164,398.69,2023-08-10
355,295.24,2023-04-21
441,285.03,2023-11-01
297,116.51,2023-02-08
129,349.89,2023-10-21
259,59.78,2023-11-17
305,484.84,2023-01-09
39,207.16,2023-10-06
308,56.65,2023-12-23
80,460.08,2023-02-13
243,274.12,2023-10-24
343,417.14,2023-04-22
240,217.63,2023-04-01
269,446.26,2023-11-09
404,379.31,2023-10-22
229,421.82,2023-01-28
368,424.3,2023-07-13
101,79.48,2023-08-31
199,107.98,2023-11-09
49,309.12,2023-10-24
139,385.87,2023-06-15
308,315.64,2023-04-13
492,177.61,2023-06-23
296,36.81,2023-04-17
98,431.09,2023-10-14
457,193.12,2023-03-03
433,39.32,2023-02-01
377,283.96,2023-03-03
24,144.41,2023-08-05
206,396.34,2023-04-18
144,465.48,2023-10-10
428,192.61,2023-05-15
245,27.22,2023-09-17
265,33.41,2023-01-19
466,306.31,2023-02-17
31,231.94,2023-10-23
26,433.85,2023-10-25
203,285.41,2023-05-21
380,40.97,2023-11-28
351,360.32,2023-06-18
190,94.55,2023-05-28
302,385.72,2023-07-26
314,193.98,2023-03-19
326,125.05,2023-11-25
48,59.19,2023-08-28
312,33.96,2023-08-04
140,324.38,2023-02-13
336,499.14,2023-06-18
205,484.92,2023-08-23
420,294.29,2023-12-10
373,196.56,2023-07-04
342,435.2,2023-07-06
67,243.49,2023-02-02
433,247.41,2023-10-22
113,279.56,2023-04-27
474,352.44,2023-01-22
37,431.97,2023-11-22
116,78.46,2023-07-07
39,268.2,2023-10-13
110,451.56,2023-05-09
58,85.08,2023-10-02
260,64.86,2023-02-19
228,68.89,2023-11-23
494,129.34,2023-05-19
272,216.38,2023-12-03
69,324.9,2023-05-09
287,373.46,2023-08-13
422,304.75,2023-11-12
486,166.93,2023-02-18
280,36.16,2023-06-19
94,108.24,2023-01-02
29,148.87,2023-01-29
219,267.85,2023-09-06
231,147.75,2023-05-22
43,138.6,2023-07-19
13,74.34,2023-03-12
52,437.44,2023-07-09
48,361.69,2023-09-09
159,324.62,2023-03-03
49,153.48,2023-03-15
159,147.03,2023-11-10
75,311.99,2023-07-27
149,307.39,2023-03-10
75,387.55,2023-08-12
253,109.91,2023-03-11
208,178.05,2023-12-18
404,391.62,2023-12-06
1,36.8,2023-05-20
200,27.25,2023-05-08
244,365.64,2023-10-25
392,202.99,2023-03-31
196,194.31,2023-02-26
242,459.93,2023-12-22
124,308.7,2023-09-21
292,201.39,2023-04-16
364,326.48,2023-04-22
4,378.66,2023-04-18
395,167.28,2023-07-29
227,174.31,2023-08-07
287,95.37,2023-07-04
354,437.21,2023-06-14
457,427.62,2023-01-14
385,359.06,2023-04-20
171,216.37,2023-10-23
284,137.72,2023-08-25
433,122.84,2023-07-27
402,327.17,2023-12-11
246,190.35,2023-10-02
416,300.15,2023-12-23
62,425.63,2023-04-19
314,354.69,2023-06-01
333,144.23,2023-11-05
472,263.99,2023-01-19
428,388.76,2023-08-03
33,189.07,2023-08-21
251,297.23,2023-06-29
415,238.16,2023-02-25
123,157.08,2023-11-16
75,393.72,2023-07-21
238,368.99,2023-07-08
12,285.53,2023-12-26
84,27.95,2023-10-20
28,242.96,2023-12-20
154,436.05,2023-11-29
207,246.38,2023-01-08
242,91.8,2023-05-02
324,310.45,2023-05-07
60,348.56,2023-12-09
347,184.39,2023-11-08
210,248.84,2023-09-14
488,48.63,2023-03-26
359,49.37,2023-01-17
284,353.09,2023-11-30
27,190.94,2023-06-07
41,46.83,2023-07-23
207,461.12,2023-07-08
115,421.81,2023-03-04
34,497.69,2023-05-13
76,268.29,2023-02-06
5,400.94,2023-03-18
27,108.44,2023-03-24
481,195.98,2023-11-20
298,237.83,2023-02-24
145,12.92,2023-11-25
179,243.68,2023-10-02
378,111.67,2023-05-11
211,89.9,2023-05-30
4,262.24,2023-05-31
334,253.73,2023-08-16
226,124.26,2023-09-19
138,162.71,2023-07-07
128,401.97,2023-06-28
305,212.09,2023-06-29
402,123.69,2023-02-07
294,449.88,2023-07-05
376,390.04,2023-04-25
205,400.35,2023-03-22
41,104.66,2023-01-28
469,427.76,2023-10-04
180,198.95,2023-08-19
148,292.26,2024-01-01
72,38.72,2023-06-02
220,173.85,2023-08-24
85,447.74,2023-01-24
237,381.06,2023-06-17
119,440.74,2023-12-11
82,151.9,2023-08-13
480,135.93,2023-06-09
140,15.04,2023-12-01
272,467.87,2023-07-23
118,21.32,2023-10-02
68,395.31,2023-02-08
467,281.73,2023-03-01
116,465.47,2023-02-28
347,403.34,2023-11-09
78,396.63,2023-06-27
484,272.11,2023-07-29
306,359.15,2023-09-30
261,335.84,2023-03-01
3,140.72,2023-12-15
461,421.98,2023-04-28
300,298.76,2023-04-21
104,157.71,2023-07-27
340,239.41,2023-10-24
256,300.7,2023-10-14
167,57.41,2023-09-21
10,64.77,2023-06-11
4,202.43,2023-02-01
418,334.26,2023-05-24
220,86.78,2023-02-28
391,121.18,2023-09-08
294,377.86,2023-10-06
158,59.58,2023-05-20
38,307.0,2023-07-05
9,133.47,2023-01-02
230,95.23,2023-02-04
102,135.99,2023-09-08
34,455.98,2023-02-26
93,492.3,2023-07-31
244,97.89,2023-04-12
71,427.84,2023-05-17
314,269.73,2023-10-12
276,498.09,2023-07-26
486,74.84,2023-08-10
273,52.11,2023-05-20
147,261.82,2023-02-01
123,479.13,2023-12-30
312,428.39,2023-01-27
41,342.91,2023-07-19
447,371.02,2023-01-03
138,374.86,2023-04-29
256,354.93,2023-02-14
280,491.39,2023-09-05
345,377.43,2023-06-21
243,180.94,2023-02-05
218,277.14,2023-04-03
93,76.26,2023-12-29
421,314.16,2023-06-30
402,204.03,2023-04-12
162,335.97,2023-01-03
54,231.42,2023-10-26
117,455.74,2023-12-14
136,464.55,2023-08-24
310,185.76,2023-08-15
344,26.49,2023-07-13
305,479.16,2023-02-06
214,10.47,2023-06-04
284,78.86,2023-11-13
372,235.49,2023-06-27
459,114.35,2023-05-28
144,426.31,2023-09-22
330,181.52,2023-08-11
78,301.04,2023-01-12
296,199.13,2023-11-12
480,422.84,2023-07-27
46,210.69,2023-04-17
478,211.36,2023-10-14
221,161.77,2023-04-05
98,356.74,2023-03-10
318,308.55,2023-09-19
307,333.57,2023-02-20
267,390.24,2023-08-10
320,248.12,2023-05-12
143,59.79,2023-01-02
90,55.31,2023-09-13
284,399.85,2023-07-07
434,357.25,2023-07-17
410,286.86,2023-10-06
491,88.54,2023-07-30
451,50.76,2023-02-17
293,116.74,2023-10-08
449,24.08,2023-02-28
192,134.99,2023-07-15
313,442.62,2023-01-12
472,270.25,2023-12-03
473,189.4,2023-01-17
334,60.55,2023-10-15
47,12.79,2023-03-18
398,329.34,2023-07-25
481,469.79,2023-04-08
156,359.53,2023-02-15
426,376.69,2023-04-14
4,286.0,2023-01-17
91,49.18,2023-01-28
50,33.28,2023-03-26
401,381.91,2023-06-23
432,424.89,2023-07-24
78,264.27,2023-04-14
272,477.64,2023-11-13
360,451.56,2023-07-20
230,93.06,2023-09-11
152,447.37,2023-04-11
35,243.29,2023-08-01
46,154.86,2023-04-12
156,368.36,2023-07-04
52,374.74,2023-02-22
327,192.85,2023-06-18
145,321.41,2023-09-27
116,79.1,2023-04-20
135,57.32,2023-04-17
254,465.2,2023-09-30
147,434.77,2023-08-29
427,111.02,2023-12-09
104,159.58,2023-01-09
258,315.33,2023-12-17
365,172.43,2023-06-09
215,162.9,2023-12-26
329,131.76,2023-07-24
449,209.48,2023-04-19
76,374.47,2023-02-23
286,264.09,2023-11-22
66,73.05,2023-08-26
140,158.32,2023-04-09
94,75.55,2023-03-09
297,294.1,2023-07-23
422,135.63,2023-02-22
78,275.21,2023-07-24
366,243.88,2023-02-16
78,384.12,2023-11-25
96,446.18,2023-01-03
100,452.81,2023-03-04
446,321.94,2023-07-17
45,104.64,2023-06-13
181,116.8,2023-07-01
290,438.9,2023-09-24
219,398.31,2023-12-22
136,209.45,2023-05-14
400,190.05,2023-01-04
171,54.67,2023-07-21
219,460.07,2023-03-01
304,289.23,2023-08-31
125,396.21,2023-10-10
365,233.12,2023-11-21
352,430.59,2023-09-21
296,395.81,2023-06-19
127,323.05,2023-01-01
300,59.44,2023-05-16
20,182.49,2023-07-05
55,181.71,2023-03-31
158,484.75,2023-06-24
20,458.79,2023-09-25
20,414.55,2023-06-14
320,87.91,2023-12-06
359,13.33,2023-03-25
16,104.39,2023-11-10
89,406.77,2023-12-13
451,349.26,2023-02-13
488,26.85,2023-06-25
17,494.97,2023-05-29
31,394.24,2023-06-17
447,381.53,2023-07-25
289,335.7,2023-12-17
280,49.91,2023-12-07
215,41.84,2023-11-01
60,123.06,2023-06-14
408,56.73,2023-06-16
71,63.59,2023-06-17
161,325.74,2023-07-23
84,14.76,2023-07-25
487,166.7,2023-07-31
444,328.88,2023-10-24
106,398.87,2023-10-08
97,104.7,2023-03-10
291,99.46,2023-06-19
142,93.14,2023-12-02
415,106.48,2023-11-17
476,446.52,2023-11-09
123,360.77,2023-11-11
498,294.19,2023-08-03
326,146.87,2023-02-22
382,163.54,2023-01-28
339,211.89,2023-11-17
160,129.91,2023-08-16
293,412.18,2023-12-05
225,211.47,2023-10-15
60,90.14,2023-09-18
330,225.3,2023-03-30
94,175.5,2023-10-23
250,252.31,2023-12-15
430,71.51,2023-04-30
258,371.86,2023-08-08
96,365.3,2023-09-24
411,341.08,2023-01-28
477,160.4,2023-05-13
358,282.39,2023-12-07
133,37.22,2023-05-22
403,75.49,2023-09-06
34,31.7,2023-02-01
39,161.41,2023-01-22
344,452.23,2023-09-27
129,332.54,2023-04-23
139,443.46,2023-07-22
163,196.83,2023-03-18
438,247.44,2023-07-29
158,308.29,2023-01-24
217,63.74,2023-03-19
30,62.99,2023-04-05
405,119.12,2023-05-11
25,125.67,2023-07-08
262,427.97,2023-01-05
150,314.21,2023-10-06
177,185.82,2023-05-26
239,305.12,2023-12-03
117,305.62,2023-09-24
215,289.31,2023-07-12
356,408.12,2023-10-27
185,69.19,2023-07-31
13,364.72,2023-10-24
499,320.18,2023-08-27
431,326.69,2023-01-17
338,412.31,2023-04-27
